PID    | Hora Atual
335302 | 19:44:55.977
188950 | 19:44:55.977
454963 | 19:44:55.978
294691 | 19:44:55.978
742154 | 19:44:55.978
022011 | 19:44:55.978
374069 | 19:44:55.979
803785 | 19:44:55.979
684174 | 19:44:55.979
975244 | 19:44:55.979
167416 | 19:44:55.980
340220 | 19:44:55.980
659358 | 19:44:55.980
825543 | 19:44:55.980
377175 | 19:44:55.980
492394 | 19:44:55.981
885265 | 19:44:55.981
481497 | 19:44:55.981
434602 | 19:44:55.981
332730 | 19:44:55.982
168077 | 19:44:55.982
147525 | 19:44:55.982
651368 | 19:44:55.982
269631 | 19:44:55.983
663246 | 19:44:55.983
748237 | 19:44:55.983
942501 | 19:44:55.983
023522 | 19:44:55.984
150784 | 19:44:55.984
692873 | 19:44:55.984
734914 | 19:44:55.984
076381 | 19:44:55.985
464397 | 19:44:55.985
180846 | 19:44:55.985
232044 | 19:44:55.985
482944 | 19:44:55.986
862079 | 19:44:55.986
191094 | 19:44:55.986
621821 | 19:44:55.986
964889 | 19:44:55.987
275852 | 19:44:55.987
081434 | 19:44:55.987
789086 | 19:44:55.987
898647 | 19:44:55.988
958091 | 19:44:55.988
056164 | 19:44:55.988
332596 | 19:44:55.988
221803 | 19:44:55.989
804399 | 19:44:55.989
831962 | 19:44:55.989
136733 | 19:44:55.989
843494 | 19:44:55.990
769932 | 19:44:55.990
085037 | 19:44:55.990
482721 | 19:44:55.990
955261 | 19:44:55.991
476219 | 19:44:55.991
404753 | 19:44:55.991
235944 | 19:44:55.991
952882 | 19:44:55.991
598654 | 19:44:55.991
588041 | 19:44:55.991
474379 | 19:44:55.992
805415 | 19:44:55.992
215817 | 19:44:55.992
953426 | 19:44:55.992
268303 | 19:44:55.993
667416 | 19:44:55.993
994075 | 19:44:55.993
685803 | 19:44:55.993
236275 | 19:44:55.994
579896 | 19:44:55.994
023192 | 19:44:55.994
708920 | 19:44:55.994
176375 | 19:44:55.995
769091 | 19:44:55.995
641233 | 19:44:55.995
724301 | 19:44:55.995
663181 | 19:44:55.996
063070 | 19:44:55.996
513897 | 19:44:55.996
323631 | 19:44:55.996
126185 | 19:44:55.997
069885 | 19:44:55.997
738053 | 19:44:55.997
118339 | 19:44:55.997
339940 | 19:44:55.998
119100 | 19:44:55.998
051408 | 19:44:55.998
232302 | 19:44:55.998
352693 | 19:44:55.999
670214 | 19:44:55.999
981601 | 19:44:55.999
559124 | 19:44:55.999
545407 | 19:44:56.000
491364 | 19:44:56.000
844127 | 19:44:56.000
318997 | 19:44:56.000
273787 | 19:44:56.000
791414 | 19:44:56.001
935645 | 19:44:56.001
920574 | 19:44:56.001
967088 | 19:44:56.001
887736 | 19:44:56.002
461699 | 19:44:56.002
473090 | 19:44:56.002
918152 | 19:44:56.002
410348 | 19:44:56.003
803601 | 19:44:56.003
228664 | 19:44:56.003
763717 | 19:44:56.004
272565 | 19:44:56.004
659583 | 19:44:56.004
725692 | 19:44:56.004
889704 | 19:44:56.005
975934 | 19:44:56.005
938736 | 19:44:56.005
695731 | 19:44:56.005
080963 | 19:44:56.006
752861 | 19:44:56.006
505359 | 19:44:56.006
297374 | 19:44:56.007
253856 | 19:44:56.007
823095 | 19:44:56.007
669415 | 19:44:56.007
000306 | 19:44:56.008
764344 | 19:44:56.008
779593 | 19:44:56.008
335302 | 19:44:56.008
188950 | 19:44:56.009
454963 | 19:44:56.009
294691 | 19:44:56.009
742154 | 19:44:56.009
022011 | 19:44:56.009
374069 | 19:44:56.010
803785 | 19:44:56.010
684174 | 19:44:56.010
975244 | 19:44:56.010
167416 | 19:44:56.011
340220 | 19:44:56.011
659358 | 19:44:56.011
825543 | 19:44:56.012
377175 | 19:44:56.012
492394 | 19:44:56.012
885265 | 19:44:56.012
481497 | 19:44:56.012
434602 | 19:44:56.013
332730 | 19:44:56.013
168077 | 19:44:56.013
147525 | 19:44:56.013
651368 | 19:44:56.014
269631 | 19:44:56.014
663246 | 19:44:56.014
748237 | 19:44:56.014
